"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 19 17:32:49 CST 2022","Wed Jan 19 17:32:51 CST 2022","1100","testFunctions","test_basicQuery","TestBasicQuery","","","售价定价原则-启用查看",""
"passed","Wed Jan 19 17:32:00 CST 2022","Wed Jan 19 17:32:22 CST 2022","22353","testFunctions","test_basicQuery","TestBasicQuery","","","临采商品验收标准管理查看",""
"passed","Wed Jan 19 17:31:10 CST 2022","Wed Jan 19 17:31:13 CST 2022","2658","testFunctions","test_basicQuery","TestBasicQuery","","","sku管理查看",""
"passed","Wed Jan 19 17:31:13 CST 2022","Wed Jan 19 17:31:18 CST 2022","5641","testFunctions","test_basicQuery","TestBasicQuery","","","停启用-列表查看",""
"passed","Wed Jan 19 17:32:48 CST 2022","Wed Jan 19 17:32:49 CST 2022","1344","testFunctions","test_basicQuery","TestBasicQuery","","","售价定价原则-待启用查看接口2",""
"passed","Wed Jan 19 17:30:50 CST 2022","Wed Jan 19 17:30:51 CST 2022","1145","testFunctions","test_basicQuery","TestBasicQuery","","","别名管理查看",""
"passed","Wed Jan 19 17:30:45 CST 2022","Wed Jan 19 17:30:46 CST 2022","1192","testFunctions","test_basicQuery","TestBasicQuery","","","验收事项管理查看",""
"passed","Wed Jan 19 17:30:40 CST 2022","Wed Jan 19 17:30:41 CST 2022","1115","testFunctions","test_basicQuery","TestBasicQuery","","","属性管理查看",""
"passed","Wed Jan 19 17:30:49 CST 2022","Wed Jan 19 17:30:50 CST 2022","1164","testFunctions","test_basicQuery","TestBasicQuery","","","计量单位审核未通过查看",""
"passed","Wed Jan 19 17:30:51 CST 2022","Wed Jan 19 17:30:52 CST 2022","1321","testFunctions","test_basicQuery","TestBasicQuery","","","别名待审核查看",""
"passed","Wed Jan 19 17:31:08 CST 2022","Wed Jan 19 17:31:10 CST 2022","1932","testFunctions","test_basicQuery","TestBasicQuery","","","spu管理查看",""
"passed","Wed Jan 19 17:31:24 CST 2022","Wed Jan 19 17:31:25 CST 2022","1426","testFunctions","test_basicQuery","TestBasicQuery","","","停启用待审核查看",""
"passed","Wed Jan 19 17:32:47 CST 2022","Wed Jan 19 17:32:48 CST 2022","1208","testFunctions","test_basicQuery","TestBasicQuery","","","售价定价原则-待启用查看接口1",""
"passed","Wed Jan 19 17:32:45 CST 2022","Wed Jan 19 17:32:47 CST 2022","1440","testFunctions","test_basicQuery","TestBasicQuery","","","售价定价原则查看",""
"passed","Wed Jan 19 17:30:55 CST 2022","Wed Jan 19 17:30:56 CST 2022","1198","testFunctions","test_basicQuery","TestBasicQuery","","","图片库管理查看",""
"passed","Wed Jan 19 17:30:37 CST 2022","Wed Jan 19 17:30:38 CST 2022","1188","testFunctions","test_basicQuery","TestBasicQuery","","","属性模板分类查看",""
"passed","Wed Jan 19 17:31:40 CST 2022","Wed Jan 19 17:31:42 CST 2022","1961","testFunctions","test_basicQuery","TestBasicQuery","","","关联商品查看",""
"passed","Wed Jan 19 17:30:38 CST 2022","Wed Jan 19 17:30:39 CST 2022","1254","testFunctions","test_basicQuery","TestBasicQuery","","","属性模板管理查看",""
"passed","Wed Jan 19 17:32:42 CST 2022","Wed Jan 19 17:32:43 CST 2022","1313","testFunctions","test_basicQuery","TestBasicQuery","","","调价通知单列表查看",""
"passed","Wed Jan 19 17:31:45 CST 2022","Wed Jan 19 17:31:48 CST 2022","2738","testFunctions","test_basicQuery","TestBasicQuery","","","商品资质关系查看",""
"passed","Wed Jan 19 17:32:39 CST 2022","Wed Jan 19 17:32:42 CST 2022","2451","testFunctions","test_basicQuery","TestBasicQuery","","","删除供货信息查看",""
"passed","Wed Jan 19 17:30:33 CST 2022","Wed Jan 19 17:30:34 CST 2022","1334","testFunctions","test_basicQuery","TestBasicQuery","","","归类管理查询",""
"passed","Wed Jan 19 17:30:29 CST 2022","Wed Jan 19 17:30:30 CST 2022","1394","testFunctions","test_basicQuery","TestBasicQuery","","","品牌管理查询",""
"passed","Wed Jan 19 17:30:46 CST 2022","Wed Jan 19 17:30:47 CST 2022","1339","testFunctions","test_basicQuery","TestBasicQuery","","","计量单位管理查看",""
"passed","Wed Jan 19 17:30:41 CST 2022","Wed Jan 19 17:30:42 CST 2022","1083","testFunctions","test_basicQuery","TestBasicQuery","","","属性值分类管理查看",""
"passed","Wed Jan 19 17:30:26 CST 2022","Wed Jan 19 17:30:28 CST 2022","1466","testFunctions","test_basicQuery","TestBasicQuery","","","品类待审核查询",""
"passed","Wed Jan 19 17:32:24 CST 2022","Wed Jan 19 17:32:36 CST 2022","12141","testFunctions","test_basicQuery","TestBasicQuery","","","供货信息查询",""
"passed","Wed Jan 19 17:31:30 CST 2022","Wed Jan 19 17:31:36 CST 2022","5674","testFunctions","test_basicQuery","TestBasicQuery","","","上下架-处理查看",""
"passed","Wed Jan 19 17:30:53 CST 2022","Wed Jan 19 17:30:55 CST 2022","1236","testFunctions","test_basicQuery","TestBasicQuery","","","知识点查看",""
"passed","Wed Jan 19 17:31:06 CST 2022","Wed Jan 19 17:31:08 CST 2022","1760","testFunctions","test_basicQuery","TestBasicQuery","","","待准入-审核驳回页面",""
"passed","Wed Jan 19 17:31:44 CST 2022","Wed Jan 19 17:31:45 CST 2022","1408","testFunctions","test_basicQuery","TestBasicQuery","","","商品资质管理查看",""
"passed","Wed Jan 19 17:30:47 CST 2022","Wed Jan 19 17:30:49 CST 2022","1178","testFunctions","test_basicQuery","TestBasicQuery","","","计量单位待审核查看",""
"passed","Wed Jan 19 17:32:36 CST 2022","Wed Jan 19 17:32:39 CST 2022","3472","testFunctions","test_basicQuery","TestBasicQuery","","","主供及到货周期管理查看",""
"passed","Wed Jan 19 17:32:43 CST 2022","Wed Jan 19 17:32:45 CST 2022","2538","testFunctions","test_basicQuery","TestBasicQuery","","","修改价格组查看",""
"passed","Wed Jan 19 17:30:42 CST 2022","Wed Jan 19 17:30:44 CST 2022","1116","testFunctions","test_basicQuery","TestBasicQuery","","","属性值管理查看",""
"passed","Wed Jan 19 17:30:25 CST 2022","Wed Jan 19 17:30:25 CST 2022","0","testFunctions","test_a_initData","TestInitData","","","test_cate_wait_check",""
"passed","Wed Jan 19 17:30:52 CST 2022","Wed Jan 19 17:30:53 CST 2022","1200","testFunctions","test_basicQuery","TestBasicQuery","","","别名审核未通过查看",""
"passed","Wed Jan 19 17:31:25 CST 2022","Wed Jan 19 17:31:30 CST 2022","4959","testFunctions","test_basicQuery","TestBasicQuery","","","上下架-列表查看",""
"passed","Wed Jan 19 17:30:25 CST 2022","Wed Jan 19 17:30:26 CST 2022","1382","testFunctions","test_basicQuery","TestBasicQuery","","","品类管理查询",""
