"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 19 17:31:37 CST 2022","Wed Jan 19 17:31:39 CST 2022","1745","testFunctions","test_basicQuery","TestBasicQuery","","","多计量管理查看",""
"passed","Wed Jan 19 17:30:39 CST 2022","Wed Jan 19 17:30:40 CST 2022","1166","testFunctions","test_basicQuery","TestBasicQuery","","","属性分类管理查看",""
"passed","Wed Jan 19 17:30:57 CST 2022","Wed Jan 19 17:31:01 CST 2022","4268","testFunctions","test_basicQuery","TestBasicQuery","","","待准入-未完善页面",""
"passed","Wed Jan 19 17:31:50 CST 2022","Wed Jan 19 17:32:00 CST 2022","9726","testFunctions","test_basicQuery","TestBasicQuery","","","修改表单查看",""
"passed","Wed Jan 19 17:31:04 CST 2022","Wed Jan 19 17:31:06 CST 2022","2065","testFunctions","test_basicQuery","TestBasicQuery","","","待准入-待审核页面",""
"passed","Wed Jan 19 17:31:48 CST 2022","Wed Jan 19 17:31:50 CST 2022","1946","testFunctions","test_basicQuery","TestBasicQuery","","","验收标准管理查看",""
"passed","Wed Jan 19 17:30:44 CST 2022","Wed Jan 19 17:30:45 CST 2022","1266","testFunctions","test_basicQuery","TestBasicQuery","","","场景管理查看",""
"passed","Wed Jan 19 17:30:36 CST 2022","Wed Jan 19 17:30:37 CST 2022","1142","testFunctions","test_basicQuery","TestBasicQuery","","","归类审核未通过",""
"passed","Wed Jan 19 17:30:28 CST 2022","Wed Jan 19 17:30:29 CST 2022","1333","testFunctions","test_basicQuery","TestBasicQuery","","","品类审核未通过查询",""
"passed","Wed Jan 19 17:30:56 CST 2022","Wed Jan 19 17:30:57 CST 2022","1348","testFunctions","test_basicQuery","TestBasicQuery","","","商品新增单据查看",""
"passed","Wed Jan 19 17:31:18 CST 2022","Wed Jan 19 17:31:24 CST 2022","5481","testFunctions","test_basicQuery","TestBasicQuery","","","停启用-处理查看",""
"passed","Wed Jan 19 17:30:32 CST 2022","Wed Jan 19 17:30:33 CST 2022","1198","testFunctions","test_basicQuery","TestBasicQuery","","","品牌审核未通过",""
"passed","Wed Jan 19 17:30:30 CST 2022","Wed Jan 19 17:30:32 CST 2022","1347","testFunctions","test_basicQuery","TestBasicQuery","","","品牌待审核",""
"passed","Wed Jan 19 17:32:22 CST 2022","Wed Jan 19 17:32:24 CST 2022","1625","testFunctions","test_basicQuery","TestBasicQuery","","","临采商品管理查看",""
"passed","Wed Jan 19 17:31:36 CST 2022","Wed Jan 19 17:31:37 CST 2022","1379","testFunctions","test_basicQuery","TestBasicQuery","","","上下架-待审核查看",""
"passed","Wed Jan 19 17:31:39 CST 2022","Wed Jan 19 17:31:40 CST 2022","1402","testFunctions","test_basicQuery","TestBasicQuery","","","营销属性管理查看",""
"passed","Wed Jan 19 17:30:34 CST 2022","Wed Jan 19 17:30:36 CST 2022","1306","testFunctions","test_basicQuery","TestBasicQuery","","","归类待审核",""
"passed","Wed Jan 19 17:31:42 CST 2022","Wed Jan 19 17:31:44 CST 2022","1278","testFunctions","test_basicQuery","TestBasicQuery","","","商品标签管理查看",""
"passed","Wed Jan 19 17:31:01 CST 2022","Wed Jan 19 17:31:04 CST 2022","2790","testFunctions","test_basicQuery","TestBasicQuery","","","待准入-未提交页面",""
